id,category,description,last_modified,mark,mark_amount,name,user_id
1,V/DB/H,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",17/7/2018,3.3,44,Initation Crab Meat,52
2,J/YL/W,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,17/4/2018,2.1,51,Carbonated Water - White Grape,26
3,N/co/Uw/m,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1/9/2018,3.7,85,Longan,38
4,i/uq/c,Aenean fermentum.,20/12/2017,3.4,15,Soup - Campbells Beef Stew,48
5,i/dK/xd/o,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",21/12/2017,2.9,90,Mace,68
6,o/y,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",24/10/2017,4.5,30,Creme De Cacao Mcguines,24
7,N/L,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",25/7/2018,4.7,34,"Juice - Pineapple, 48 Oz",74
8,K/gs/OE/sn/v,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",27/2/2018,2.8,46,Ice Cream Bar - Rolo Cone,42
9,S/th/i,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",18/7/2018,4.6,73,Truffle Shells - White Chocolate,42
10,L/so/i,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,28/9/2018,4.8,4,"Chicken - White Meat, No Tender",22
11,s/HR/W,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,28/9/2018,1.8,85,Herb Du Provence - Primerba,3
12,Q/Z,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",18/11/2017,3.4,87,Venison - Liver,64
13,R/MH/ig/J,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",4/1/2018,2.0,54,"Lemonade - Black Cherry, 591 Ml",87
14,c/SR/AV/S,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,12/2/2018,3.6,18,Nantuket Peach Orange,52
15,B/w,In hac habitasse platea dictumst.,19/12/2017,3.3,49,Tia Maria,72
16,F/GH/ms/d,Nullam porttitor lacus at turpis.,3/7/2018,1.3,81,Ice Cream - Fudge Bars,23
17,Z/uQ/i,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",13/2/2018,1.3,35,Grapes - Red,74
18,D/o,Nulla nisl. Nunc nisl.,23/3/2018,3.4,8,Bagel - Everything Presliced,50
19,A/XK/FC/t,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",11/10/2018,1.0,26,Lamb - Shoulder,13
20,b/UE/ZM/t,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",22/11/2017,1.6,13,Snapple Lemon Tea,30
21,t/ns/q,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,20/5/2018,1.3,67,Cleaner - Comet,31
